Time,European Union,Latin America & Caribbean ,Middle East & North Africa, East Asia & Pacific,South Asia, North America , Africa Eastern and Southern
1971,3207027.876,552797.3241,363150.6996,2245063.048,257320.724,4710963.583,213550.9464
1972,3394658.754,578914.4076,390457.3659,2364536.965,245637.662,4947765.871,217837.9853
1973,3601853.474,632157.8044,460935.2019,2521716.781,254691.485,5153723.484,223290.2332
1974,3600834.643,666400.8648,467866.7243,2547405.738,263356.606,4990337.316,226298.37
1975,3537180.606,674556.6345,461832.915,2690218.037,285677.635,4805313.291,231987.5087
1976,3837936.058,717864.1439,545327.5908,2825063.672,297283.69,5014330.063,240665.9833
1977,3811572.377,739110.1101,574150.0677,3031270.826,314921.96,5152380.976,246129.5118
1978,3967127.253,793615.9754,605319.8436,3204082.709,321225.533,5308709.807,250630.4364
1979,4114434.176,849417.826,636916.4011,3328648.299,338423.763,5345863.535,268619.0944
1980,4074379.24,892405.0632,646136.356,3323288.839,359501.679,5168366.359,280929.8942
1981,3825160.605,883057.5829,626850.2412,3291061.417,387715.577,4967621.052,308901.8061
1982,3740677.772,907204.6197,632516.1353,3412725.981,402746.61,4723313.924,329541.3846
1983,3678981.264,865409.0932,675448.1601,3520967.721,435192.226,4752383.259,344021.803
1984,3674224.812,879966.5834,723163.0826,3766238.305,447627.023,4902641.459,365909.7583
1985,3742372.008,907461.5823,764752.217,3945521.706,492357.089,4916499.371,374516.7897
1986,3717496.507,924540.2854,816348.6449,4089200.594,526174.163,4902348.015,385101.671
1987,3800176.353,970838.2437,827658.3582,4290089.2,562132.765,5121767.39,388106.0476
1988,3740672.048,994035.6361,883735.9932,4644594.568,606881.166,5350764.056,404605.6778
1989,3855628.229,1052388.492,913084.5888,4795868.193,660778.732,5420695.523,401747.9479
1990,3562660,899521.56,847589.5366,4545253.93,643080,5266383.377,309980.8254
1991,3523680,924182.4178,914400.2082,4749295.596,686710,5223274.768,304407.7236
1992,3409310,944563.712,955837.0716,4928672.655,717340,5308491.554,300329.9719
1993,3348670,974815.4485,1007337.173,5231578.41,747010,5425372.008,306574.5771
1994,3336380,1024289.643,1078221.299,5481613.343,786940,5514430.453,312677.0287
1995,3389850,1048116.951,1115775.338,5936533.205,849830,5578808.243,330892.999
1996,3487250,1130638.321,1153349.443,6012555.994,891420,5748751.604,341412.3664
1997,3418590,1199782.243,1189197.848,6141774.802,942110,6029122.634,357963.1087
1998,3410320,1244844.726,1196532.073,6137536.744,961900,6080084.633,366634.4792
1999,3355390,1233591.811,1240768.182,6171273.365,1037180,6108076.716,352429.2715
2000,3362290,1274171.426,1286168.135,6487816.436,1075940,6294127.03,358460.6463
2001,3418140,1276987.196,1350731.384,6734567.923,1095440,6258891.82,397075.6603
2002,3411220,1283696.25,1409355.014,7102051.612,1133540,6122272.845,409057.1792
2003,3503750,1298313.857,1459139.449,7805467.659,1167850,6207669.708,434533.1377
2004,3508990,1354314.131,1544912.753,8640176.286,1254230,6279990.928,466883.2388
2005,3489300,1409297.882,1669805.265,9406374.858,1312050,6308773.353,468365.6979
2006,3497050,1445292.976,1769544.698,10068470.88,1400870,6200326.539,476590.2999
2007,3456800,1505460.996,1860354.638,10757242.91,1540250,6314305.741,500147.1845
2008,3379180,1563575.639,1972254.236,10956090.96,1629080,6116180.214,533634.5146
2009,3129340,1531575.482,2056000.846,11446424.06,1781870,5682803.136,515682.5438
2010,3215040,1613466.607,2139556.826,12423292.88,1884320,5930460.043,543808.6518
2011,3117130,1675332.222,2181023.789,13409665.63,1991420,5722290.181,535604.3575
2012,3057640,1734371.901,2307912.896,13756716.1,2145490,5499724.105,559333.8573
2013,2983560,1778631.33,2351557.05,14185336.65,2203550,5648288.236,580510.925
2014,2838990,1790321.349,2443881.993,14155188.45,2389180,5666856.252,601860.164
2015,2896820,1782849.902,2477603.373,14136568.74,2422620,5543983.21,586385.004
2016,2904100,1747810.34,2495121.234,14170430.39,2479230,5441468.957,592299.594
2017,2926600,1713340.032,2529043.276,14433707.89,2622720,5378301.689,601323.3947
2018,2871000,1689187.436,2531611.759,14810056.87,2770040,5558099.304,600351.1333
2019,..,..,..,..,..,..,..
2020,..,..,..,..,..,..,..
